Start Log	Run: 66	Date: 5/10/2024   Time: 11:58:37
Time, 601150 MassRate , 601150 Mass (g), 601150 Frequency (Hz)
2648.219, 0.2, 922.01, 5982148.61, 
2653.234, 0, 922.59, 5982148.62, 
2658.219, 0.2, 922.99, 5982148.56, 
2663.219, 0.4, 923.44, 5982148.5, 
2668.25, 0.8, 923.89, 5982148.43, 
2673.281, 0.5, 924.39, 5982148.44, 
2678.234, 0.1, 924.87, 5982148.4, 
2683.266, -0.4, 925.14, 5982148.34, 
2688.234, -0.2, 925.69, 5982148.33, 
2693.25, 0.1, 926.17, 5982148.31, 
2698.266, 0.7, 926.56, 5982148.23, 
2703.281, 0, 927.18, 5982148.21, 
2708.266, 0.2, 927.47, 5982148.18, 
2713.281, -0.2, 927.72, 5982148.17, 
2718.266, 0.3, 928.21, 5982148.14, 
2723.281, 0, 928.75, 5982148.08, 
2728.328, 0.2, 928.89, 5982148.02, 
2733.281, 0, 929.66, 5982148.02, 
2738.297, -0.2, 929.84, 5982148.01, 
2743.344, 0.5, 930.23, 5982147.97, 
2748.313, 0.2, 930.81, 5982147.95, 
2753.328, 0.2, 931.26, 5982147.87, 
2758.359, 0, 931.43, 5982147.87, 
2763.328, -0.2, 931.97, 5982147.81, 
2768.328, 0.2, 932.32, 5982147.78, 
2773.359, 0.5, 932.7, 5982147.74, 
2778.328, 0, 933.15, 5982147.74, 
2783.344, 0, 933.85, 5982147.66, 
2788.375, 0, 933.83, 5982147.66, 
2793.328, 0, 934.44, 5982147.62, 
2798.359, 0.2, 934.72, 5982147.57, 
2803.344, 0, 935.12, 5982147.55, 
2808.344, 0, 935.62, 5982147.53, 
2813.359, 0, 936.08, 5982147.47, 
2818.391, -0.2, 936.17, 5982147.45, 
2823.375, 0.5, 936.9, 5982147.43, 
2828.391, 0.2, 937.14, 5982147.4, 
2833.438, 0.4, 937.29, 5982147.36, 
2838.391, -0.5, 937.75, 5982147.34, 
2843.406, 0, 938.07, 5982147.28, 
2848.453, 0.7, 938.72, 5982147.33, 
2853.422, 0.2, 938.92, 5982147.25, 
2858.422, 0.5, 939.6, 5982147.21, 
2863.438, 0.5, 939.85, 5982147.15, 
2868.453, 0.5, 940.18, 5982147.15, 
2873.453, 0.5, 940.72, 5982147.14, 
2878.484, 0, 940.9, 5982147.09, 
2883.453, -0.2, 941.12, 5982147.03, 
2888.453, -0.5, 941.75, 5982147.07, 
2893.5, -0.3, 941.81, 5982147.01, 
2898.531, -0.2, 942.21, 5982146.98, 
2903.484, 0, 942.55, 5982146.96, 
2908.531, -0.3, 942.85, 5982146.92, 
2913.516, -0.4, 943.18, 5982146.88, 
2918.484, 0.1, 943.46, 5982146.9, 
2923.5, -0.2, 943.82, 5982146.86, 
2928.516, 0, 944.17, 5982146.84, 
2933.5, -0.2, 944.5, 5982146.79, 
2938.516, 0, 944.69, 5982146.77, 
2943.531, 0, 945.02, 5982146.79, 
