Logging for SGP30
2024-05-01 07:09:01 Raw H2 11367 	Raw Ethanol 20467
2024-05-01 07:09:02 Raw H2 11364 	Raw Ethanol 20411
2024-05-01 07:09:03 Raw H2 11369 	Raw Ethanol 20479
2024-05-01 07:09:04 Raw H2 11377 	Raw Ethanol 20433
2024-05-01 07:09:05 Raw H2 11377 	Raw Ethanol 20423
2024-05-01 07:09:06 Raw H2 11376 	Raw Ethanol 20426
2024-05-01 07:09:07 Raw H2 11367 	Raw Ethanol 20422
2024-05-01 07:09:08 Raw H2 11375 	Raw Ethanol 20423
2024-05-01 07:09:09 Raw H2 11376 	Raw Ethanol 20432
2024-05-01 07:09:10 Raw H2 11373 	Raw Ethanol 20424
2024-05-01 07:09:11 Raw H2 11371 	Raw Ethanol 20423
2024-05-01 07:09:12 Raw H2 11370 	Raw Ethanol 20426
2024-05-01 07:09:13 Raw H2 11372 	Raw Ethanol 20413
2024-05-01 07:09:14 Raw H2 11371 	Raw Ethanol 20448
2024-05-01 07:09:16 Raw H2 11368 	Raw Ethanol 20404
2024-05-01 07:09:17 Raw H2 11371 	Raw Ethanol 20488
2024-05-01 07:09:18 Raw H2 11362 	Raw Ethanol 20434
2024-05-01 07:09:19 Raw H2 11372 	Raw Ethanol 20448
2024-05-01 07:09:20 Raw H2 11374 	Raw Ethanol 20486
2024-05-01 07:09:21 Raw H2 11367 	Raw Ethanol 20482
2024-05-01 07:09:22 Raw H2 11374 	Raw Ethanol 20468
2024-05-01 07:09:23 Raw H2 11371 	Raw Ethanol 20462
2024-05-01 07:09:24 Raw H2 11376 	Raw Ethanol 20447
2024-05-01 07:09:25 Raw H2 11368 	Raw Ethanol 20467
2024-05-01 07:09:26 Raw H2 11371 	Raw Ethanol 20496
2024-05-01 07:09:27 Raw H2 11371 	Raw Ethanol 20459
2024-05-01 07:09:28 Raw H2 11364 	Raw Ethanol 20497
2024-05-01 07:09:29 Raw H2 11371 	Raw Ethanol 20487
2024-05-01 07:09:30 Raw H2 11374 	Raw Ethanol 20512
2024-05-01 07:09:31 Raw H2 11377 	Raw Ethanol 20437
2024-05-01 07:09:32 Raw H2 11374 	Raw Ethanol 20436
2024-05-01 07:09:33 Raw H2 11370 	Raw Ethanol 20472
2024-05-01 07:09:34 Raw H2 11372 	Raw Ethanol 20400
2024-05-01 07:09:35 Raw H2 11373 	Raw Ethanol 20433
2024-05-01 07:09:37 Raw H2 11375 	Raw Ethanol 20455
2024-05-01 07:09:38 Raw H2 11370 	Raw Ethanol 20504
2024-05-01 07:09:39 Raw H2 11370 	Raw Ethanol 20455
2024-05-01 07:09:40 Raw H2 11373 	Raw Ethanol 20441
2024-05-01 07:09:41 Raw H2 11376 	Raw Ethanol 20461
2024-05-01 07:09:42 Raw H2 11379 	Raw Ethanol 20441
2024-05-01 07:09:43 Raw H2 11376 	Raw Ethanol 20438
2024-05-01 07:09:44 Raw H2 11371 	Raw Ethanol 20410
2024-05-01 07:09:45 Raw H2 11376 	Raw Ethanol 20423
2024-05-01 07:09:46 Raw H2 11387 	Raw Ethanol 20479
2024-05-01 07:09:47 Raw H2 11377 	Raw Ethanol 20495
2024-05-01 07:09:48 Raw H2 11369 	Raw Ethanol 20451
2024-05-01 07:09:49 Raw H2 11373 	Raw Ethanol 20452
2024-05-01 07:09:50 Raw H2 11373 	Raw Ethanol 20454
2024-05-01 07:09:51 Raw H2 11371 	Raw Ethanol 20422
2024-05-01 07:09:52 Raw H2 11381 	Raw Ethanol 20435
2024-05-01 07:09:53 Raw H2 11366 	Raw Ethanol 20454
2024-05-01 07:09:54 Raw H2 11374 	Raw Ethanol 20468
2024-05-01 07:09:55 Raw H2 11374 	Raw Ethanol 20453
2024-05-01 07:09:56 Raw H2 11375 	Raw Ethanol 20451
2024-05-01 07:09:58 Raw H2 11385 	Raw Ethanol 20479
2024-05-01 07:09:59 Raw H2 11383 	Raw Ethanol 20428
2024-05-01 07:10:00 Raw H2 11372 	Raw Ethanol 20432
2024-05-01 07:10:01 Raw H2 11376 	Raw Ethanol 20477
2024-05-01 07:10:02 Raw H2 11374 	Raw Ethanol 20439
2024-05-01 07:10:03 Raw H2 11371 	Raw Ethanol 20416
2024-05-01 07:10:04 Raw H2 11377 	Raw Ethanol 20444
2024-05-01 07:10:05 Raw H2 11381 	Raw Ethanol 20430
2024-05-01 07:10:06 Raw H2 11375 	Raw Ethanol 20400
2024-05-01 07:10:07 Raw H2 11379 	Raw Ethanol 20441
2024-05-01 07:10:08 Raw H2 11373 	Raw Ethanol 20406
2024-05-01 07:10:09 Raw H2 11380 	Raw Ethanol 20424
2024-05-01 07:10:10 Raw H2 11372 	Raw Ethanol 20384
2024-05-01 07:10:11 Raw H2 11381 	Raw Ethanol 20410
2024-05-01 07:10:12 Raw H2 11370 	Raw Ethanol 20396
2024-05-01 07:10:13 Raw H2 11371 	Raw Ethanol 20427
2024-05-01 07:10:14 Raw H2 11376 	Raw Ethanol 20381
2024-05-01 07:10:15 Raw H2 11373 	Raw Ethanol 20408
2024-05-01 07:10:16 Raw H2 11376 	Raw Ethanol 20414
2024-05-01 07:10:17 Raw H2 11374 	Raw Ethanol 20394
2024-05-01 07:10:19 Raw H2 11379 	Raw Ethanol 20418
2024-05-01 07:10:20 Raw H2 11378 	Raw Ethanol 20468
2024-05-01 07:10:21 Raw H2 11380 	Raw Ethanol 20423
2024-05-01 07:10:22 Raw H2 11374 	Raw Ethanol 20431
2024-05-01 07:10:23 Raw H2 11374 	Raw Ethanol 20485
2024-05-01 07:10:24 Raw H2 11384 	Raw Ethanol 20425
2024-05-01 07:10:25 Raw H2 11384 	Raw Ethanol 20420
2024-05-01 07:10:26 Raw H2 11375 	Raw Ethanol 20380
2024-05-01 07:10:27 Raw H2 11386 	Raw Ethanol 20409
2024-05-01 07:10:28 Raw H2 11376 	Raw Ethanol 20420
2024-05-01 07:10:29 Raw H2 11373 	Raw Ethanol 20441
2024-05-01 07:10:30 Raw H2 11377 	Raw Ethanol 20393
2024-05-01 07:10:31 Raw H2 11379 	Raw Ethanol 20457
2024-05-01 07:10:32 Raw H2 11375 	Raw Ethanol 20430
2024-05-01 07:10:33 Raw H2 11371 	Raw Ethanol 20456
2024-05-01 07:10:34 Raw H2 11376 	Raw Ethanol 20484
2024-05-01 07:10:35 Raw H2 11374 	Raw Ethanol 20429
2024-05-01 07:10:36 Raw H2 11371 	Raw Ethanol 20416
2024-05-01 07:10:37 Raw H2 11375 	Raw Ethanol 20428
2024-05-01 07:10:38 Raw H2 11376 	Raw Ethanol 20422
2024-05-01 07:10:40 Raw H2 11385 	Raw Ethanol 20437
2024-05-01 07:10:41 Raw H2 11374 	Raw Ethanol 20471
2024-05-01 07:10:42 Raw H2 11375 	Raw Ethanol 20393
2024-05-01 07:10:43 Raw H2 11376 	Raw Ethanol 20494
2024-05-01 07:10:44 Raw H2 11378 	Raw Ethanol 20476
2024-05-01 07:10:45 Raw H2 11380 	Raw Ethanol 20446
2024-05-01 07:10:46 Raw H2 11377 	Raw Ethanol 20452
2024-05-01 07:10:47 Raw H2 11384 	Raw Ethanol 20429
2024-05-01 07:10:48 Raw H2 11382 	Raw Ethanol 20447
2024-05-01 07:10:49 Raw H2 11373 	Raw Ethanol 20409
2024-05-01 07:10:50 Raw H2 11377 	Raw Ethanol 20412
2024-05-01 07:10:51 Raw H2 11379 	Raw Ethanol 20394
2024-05-01 07:10:52 Raw H2 11380 	Raw Ethanol 20414
2024-05-01 07:10:53 Raw H2 11392 	Raw Ethanol 20447
2024-05-01 07:10:54 Raw H2 11382 	Raw Ethanol 20414
2024-05-01 07:10:55 Raw H2 11373 	Raw Ethanol 20424
2024-05-01 07:10:56 Raw H2 11372 	Raw Ethanol 20400
2024-05-01 07:10:57 Raw H2 11377 	Raw Ethanol 20410
2024-05-01 07:10:58 Raw H2 11370 	Raw Ethanol 20451
2024-05-01 07:10:59 Raw H2 11381 	Raw Ethanol 20427
2024-05-01 07:11:01 Raw H2 11384 	Raw Ethanol 20412
2024-05-01 07:11:02 Raw H2 11380 	Raw Ethanol 20470
2024-05-01 07:11:03 Raw H2 11377 	Raw Ethanol 20455
2024-05-01 07:11:04 Raw H2 11382 	Raw Ethanol 20456
2024-05-01 07:11:05 Raw H2 11383 	Raw Ethanol 20420
2024-05-01 07:11:06 Raw H2 11381 	Raw Ethanol 20420
2024-05-01 07:11:07 Raw H2 11378 	Raw Ethanol 20465
2024-05-01 07:11:08 Raw H2 11372 	Raw Ethanol 20449
2024-05-01 07:11:09 Raw H2 11387 	Raw Ethanol 20432
2024-05-01 07:11:10 Raw H2 11384 	Raw Ethanol 20467
2024-05-01 07:11:11 Raw H2 11372 	Raw Ethanol 20437
2024-05-01 07:11:12 Raw H2 11377 	Raw Ethanol 20405
2024-05-01 07:11:13 Raw H2 11377 	Raw Ethanol 20425
2024-05-01 07:11:14 Raw H2 11376 	Raw Ethanol 20402
2024-05-01 07:11:15 Raw H2 11373 	Raw Ethanol 20418
2024-05-01 07:11:16 Raw H2 11375 	Raw Ethanol 20372
2024-05-01 07:11:17 Raw H2 11374 	Raw Ethanol 20407
2024-05-01 07:11:18 Raw H2 11379 	Raw Ethanol 20435
