
Start Log	Run: 616	Date: 5/31/2021   Time: 8:22:45
Time, 601150 MassRate , 601150 Mass (g), 601150 Frequency (Hz)
1477.22, 0.1, 3.82, 5986609.34, 
1482.243, 0.2, 3.86, 5986609.28, 
1487.235, 0.1, 3.85, 5986609.32, 
1492.243, -0.1, 3.88, 5986609.3, 
1497.25, 0, 3.93, 5986609.31, 
1502.258, 0.1, 4.02, 5986609.28, 
1507.266, 0, 4.09, 5986609.25, 
1512.273, 0, 4.24, 5986609.29, 
1517.296, -0.1, 4.27, 5986609.28, 
1522.304, 0, 4.35, 5986609.22, 
1527.296, 0.1, 4.48, 5986609.22, 
1532.304, 0, 4.63, 5986609.26, 
1537.311, 0.1, 4.7, 5986609.24, 
1542.319, 0, 4.88, 5986609.19, 
1547.327, 0, 4.98, 5986609.2, 
1552.35, 0.1, 5.17, 5986609.2, 
1557.358, 0, 5.26, 5986609.18, 
1562.35, 0.1, 5.4, 5986609.19, 
1567.357, -0.1, 5.54, 5986609.19, 
1572.365, 0.1, 5.77, 5986609.17, 
1577.372, 0.1, 5.87, 5986609.15, 
1582.38, 0, 5.96, 5986609.08, 
1587.388, 0, 6.15, 5986609.12, 
1592.427, 0.1, 6.34, 5986609.11, 
1597.403, 0.1, 6.4, 5986609.09, 
1602.411, 0, 6.53, 5986609.06, 
1607.418, 0.1, 6.71, 5986609.05, 
1612.426, 0, 6.93, 5986609.04, 
1617.433, 0, 7, 5986609.05, 
1622.441, 0.2, 7.13, 5986609.02, 
1627.464, 0, 7.25, 5986609.03, 
1632.456, 0.1, 7.5, 5986609, 
1637.464, 0, 7.68, 5986609.03, 
1642.472, 0, 7.76, 5986608.96, 
1647.479, 0.1, 7.92, 5986608.96, 
1652.487, 0, 8.07, 5986608.96, 
1657.51, -0.1, 8.3, 5986608.93, 
1662.518, 0.1, 8.42, 5986608.94, 
1667.51, 0, 8.5, 5986608.9, 
1672.517, 0, 8.62, 5986608.89, 
1677.525, 0.1, 8.83, 5986608.92, 
1682.533, 0, 8.94, 5986608.87, 
1687.54, 0.1, 9.09, 5986608.85, 
1692.564, 0, 9.26, 5986608.88, 
1697.556, -0.1, 9.43, 5986608.81, 
1702.563, 0.1, 9.58, 5986608.82, 
1707.571, 0, 9.61, 5986608.82, 
1712.579, 0, 9.72, 5986608.81, 
1717.586, 0, 9.92, 5986608.81, 
1722.594, 0, 10.07, 5986608.82, 
1727.617, 0, 10.15, 5986608.74, 
1732.625, 0.1, 10.29, 5986608.79, 
1737.617, 0, 10.48, 5986608.77, 
1742.624, 0.1, 10.65, 5986608.76, 
1747.632, 0, 10.74, 5986608.7, 
1752.64, -0.1, 10.86, 5986608.71, 
1757.663, 0.1, 11.06, 5986608.73, 
1762.655, 0, 11.21, 5986608.68, 
1767.694, 0.1, 11.25, 5986608.73, 
1772.67, 0.1, 11.33, 5986608.68, 
1777.678, -0.1, 11.48, 5986608.7, 
1782.685, 0, 11.66, 5986608.65, 
1787.693, 0, 11.75, 5986608.63, 
1792.701, 0, 11.87, 5986608.64, 
1797.724, 0, 11.99, 5986608.64, 
1802.731, 0.1, 12.08, 5986608.61, 
1807.724, 0.1, 12.05, 5986608.61, 
1812.731, 0, 12.24, 5986608.61, 
1817.739, 0, 12.22, 5986608.63, 
1822.746, 0, 12.22, 5986608.59, 
1827.754, 0.1, 12.66, 5986608.59, 
1832.762, 0, 13.11, 5986608.56, 
1837.785, 0.2, 13.37, 5986608.51, 
1842.777, -0.1, 13.67, 5986608.54, 
1847.785, 0.2, 13.84, 5986608.51, 
1852.792, -0.1, 13.82, 5986608.49, 
1857.8, 0, 13.81, 5986608.47, 
1862.807, -0.1, 13.93, 5986608.53, 
1867.815, 0.1, 13.92, 5986608.49, 
1872.838, -0.1, 13.92, 5986608.49, 
1877.83, 0.1, 13.97, 5986608.45, 
1882.838, -0.1, 14.11, 5986608.49, 
1887.846, 0, 14.11, 5986608.43, 
1892.853, 0.1, 14.09, 5986608.46, 
1897.861, -0.1, 14.12, 5986608.47, 
1902.869, 0.1, 14.2, 5986608.43, 
1907.876, 0, 14.31, 5986608.47, 
1912.884, -0.1, 14.26, 5986608.47, 
1917.891, 0, 14.36, 5986608.43, 
1922.899, 0.1, 14.53, 5986608.43, 
1927.907, 0.1, 14.52, 5986608.44, 
1932.914, 0.1, 14.56, 5986608.44, 
1937.922, -0.1, 14.66, 5986608.41, 
1942.93, 0, 14.81, 5986608.41, 
1947.937, 0, 14.89, 5986608.39, 
1952.945, 0, 14.9, 5986608.37, 
1957.952, 0, 15.07, 5986608.38, 
1962.96, -0.1, 15.21, 5986608.38, 
1967.968, 0, 15.33, 5986608.34, 
1972.975, 0, 15.4, 5986608.37, 
1977.999, 0, 15.53, 5986608.37, 
1982.991, 0, 15.7, 5986608.35, 
1987.998, 0.1, 15.71, 5986608.3, 
1993.006, -0.1, 15.9, 5986608.33, 
1998.014, 0.1, 15.97, 5986608.3, 
2003.021, -0.1, 16.19, 5986608.28, 
2008.029, 0.1, 16.3, 5986608.29, 
2013.052, 0, 16.41, 5986608.23, 
2018.044, 0.1, 16.6, 5986608.26, 
2023.052, 0, 16.76, 5986608.25, 
2028.059, 0.1, 16.88, 5986608.21, 
2033.067, 0.1, 16.94, 5986608.22, 
2038.075, 0, 17.21, 5986608.24, 
2043.082, 0, 17.35, 5986608.19, 
2048.09, 0, 17.52, 5986608.19, 
2053.097, 0, 17.55, 5986608.18, 
2058.105, 0, 17.73, 5986608.18, 
2063.113, 0, 17.92, 5986608.17, 
2068.12, -0.1, 18.02, 5986608.11, 
2073.128, 0.1, 18.24, 5986608.17, 
2078.136, 0.1, 18.24, 5986608.14, 
2083.143, 0, 18.44, 5986608.09, 
2088.151, 0.1, 18.63, 5986608.1, 
2093.159, 0.1, 18.74, 5986608.07, 
2098.166, 0, 18.87, 5986608.1, 
2103.174, 0, 19.02, 5986608.05, 
2108.181, 0.1, 19.22, 5986608.04, 
2113.189, 0, 19.3, 5986608.04, 
2118.197, 0, 19.39, 5986608.04, 
2123.204, 0, 19.63, 5986608.01, 
2128.212, 0.1, 19.71, 5986607.99, 
2133.22, 0.1, 19.81, 5986607.98, 
2138.227, 0, 19.93, 5986607.97, 
2143.235, 0, 20.11, 5986607.96, 
2148.258, 0.1, 20.23, 5986607.94, 
2153.25, -0.1, 20.34, 5986607.96, 
2158.258, 0, 20.49, 5986607.97, 
2163.265, 0, 20.69, 5986607.95, 
2168.273, 0.1, 20.83, 5986607.9, 
2173.281, -0.1, 20.94, 5986607.91, 
2178.288, 0, 21.1, 5986607.89, 
2183.296, 0, 21.14, 5986607.89, 
2188.319, 0.1, 21.47, 5986607.88, 
2193.311, 0, 21.5, 5986607.88, 
2198.319, 0.1, 21.42, 5986607.82, 
2203.326, 0, 22.04, 5986607.83, 
2208.334, 0, 22, 5986607.83, 
2213.342, 0, 21.96, 5986607.83, 
2218.349, 0, 21.89, 5986607.83, 
2223.357, 0, 21.99, 5986607.81, 
2228.365, 0, 22.22, 5986607.77, 
2233.372, 0.1, 22.43, 5986607.76, 
2238.38, 0, 22.67, 5986607.74, 
2243.388, 0.2, 23.21, 5986607.69, 
2248.395, 0.1, 23.84, 5986607.67, 
2253.403, 0, 23.7, 5986607.68, 
2258.426, 0, 23.91, 5986607.69, 
2263.418, 0, 23.81, 5986607.68, 
2268.426, 0, 23.93, 5986607.7, 
2273.433, 0.1, 23.91, 5986607.63, 
2278.441, -0.1, 23.88, 5986607.64, 
2283.449, 0, 24.21, 5986607.68, 
2288.472, 0.1, 23.98, 5986607.63, 
2293.464, 0, 24.19, 5986607.64, 
2298.471, 0, 24.21, 5986607.65, 
2303.479, 0.1, 24.39, 5986607.63, 
2308.487, 0, 24.39, 5986607.62, 
2313.494, 0, 24.36, 5986607.62, 
2318.502, 0, 24.47, 5986607.64, 
2323.51, 0, 24.6, 5986607.62, 
2328.517, 0.2, 24.76, 5986607.62, 
2333.525, -0.1, 24.65, 5986607.6, 
2338.533, 0, 24.75, 5986607.6, 
2343.54, -0.1, 24.82, 5986607.59, 
2348.548, 0.1, 24.85, 5986607.56, 
2353.555, 0, 24.99, 5986607.56, 
2358.563, 0.1, 25.07, 5986607.58, 
2363.586, 0, 25.17, 5986607.58, 
2368.578, 0, 25.22, 5986607.57, 
2373.586, 0, 25.33, 5986607.55, 
2378.594, 0.1, 25.42, 5986607.54, 
2383.601, 0, 25.49, 5986607.53, 
2388.609, 0.1, 25.57, 5986607.55, 
2393.616, -0.1, 25.58, 5986607.55, 
2398.64, 0.1, 25.69, 5986607.51, 
2403.632, 0.2, 25.92, 5986607.49, 
2408.639, -0.1, 25.87, 5986607.52, 
2413.647, 0.1, 25.92, 5986607.5, 
2418.655, 0, 26.09, 5986607.48, 
2423.662, 0.1, 26.15, 5986607.48, 
2428.67, 0, 26.25, 5986607.47, 
2433.693, 0.1, 26.39, 5986607.46, 
2438.685, -0.1, 26.39, 5986607.45, 
2443.693, 0.1, 26.62, 5986607.45, 
2448.7, 0, 26.6, 5986607.45, 
2453.708, 0, 26.74, 5986607.44, 
2458.716, -0.1, 26.87, 5986607.43, 
2463.723, 0.1, 26.96, 5986607.43, 
2468.731, -0.1, 27.02, 5986607.42, 
2473.739, 0, 27.08, 5986607.43, 
2478.746, 0.1, 27.17, 5986607.38, 
2483.754, 0, 27.27, 5986607.4, 
2488.761, 0.1, 27.36, 5986607.37, 
2493.769, 0, 27.5, 5986607.37, 
2498.777, 0.1, 27.61, 5986607.4, 
2503.8, -0.1, 27.7, 5986607.37, 
2508.792, 0, 27.76, 5986607.34, 
2513.8, 0, 27.84, 5986607.38, 
2518.807, 0.1, 28.12, 5986607.3, 
2523.815, 0, 28.33, 5986607.32, 
2528.823, 0.1, 28.34, 5986607.3, 
2533.846, 0.1, 28.51, 5986607.32, 
2538.838, 0, 28.65, 5986607.29, 
2543.845, 0.1, 28.78, 5986607.28, 
2548.853, 0, 28.83, 5986607.27, 
2553.861, -0.1, 28.99, 5986607.26, 
2558.868, 0.1, 29.22, 5986607.26, 
2563.876, 0, 29.31, 5986607.21, 
2568.884, 0, 29.39, 5986607.2, 
2573.891, -0.1, 29.52, 5986607.23, 
2578.899, 0.1, 29.75, 5986607.23, 
2583.906, 0, 29.84, 5986607.21, 
2588.914, 0, 29.93, 5986607.17, 
2593.922, 0, 30.1, 5986607.18, 
2598.929, 0, 30.21, 5986607.16, 
2603.937, 0.1, 30.4, 5986607.17, 
2608.945, -0.1, 30.47, 5986607.13, 
2613.952, 0.1, 30.65, 5986607.11, 
2618.96, 0.1, 30.81, 5986607.13, 
2623.968, 0, 30.86, 5986607.1, 
2628.975, 0.1, 30.97, 5986607.06, 
2633.983, -0.1, 31.1, 5986607.1, 
2638.99, 0.1, 31.34, 5986607.09, 
2643.998, 0, 31.5, 5986607.02, 
2649.006, 0, 31.79, 5986607.03, 
2654.013, 0.1, 32.01, 5986607, 
2659.021, 0, 32.13, 5986607, 
2664.029, 0, 32.28, 5986607, 
2669.036, 0.1, 32.26, 5986606.98, 
2674.044, 0, 32.23, 5986607.01, 
2679.052, 0.1, 32.33, 5986607, 
2684.059, 0, 32.41, 5986607, 
2689.067, 0, 32.49, 5986606.98, 
2694.074, 0, 32.71, 5986606.96, 
2699.082, 0, 32.77, 5986606.94, 
2704.09, 0, 32.9, 5986606.92, 
2709.097, 0, 33.11, 5986606.94, 
2714.121, 0, 33.17, 5986606.92, 
2719.113, 0.1, 33.26, 5986606.89, 
2724.12, -0.1, 33.35, 5986606.9, 
2729.128, 0, 33.55, 5986606.88, 
2734.135, 0, 33.55, 5986606.9, 
2739.143, 0.1, 33.6, 5986606.88, 
2744.151, 0, 33.63, 5986606.86, 
2749.158, 0, 33.78, 5986606.9, 
2754.166, 0, 33.82, 5986606.86, 
2759.174, 0.1, 33.82, 5986606.84, 
2764.181, 0, 33.92, 5986606.83, 
2769.189, -0.1, 34.07, 5986606.86, 
2774.197, 0, 34.12, 5986606.84, 
2779.204, 0.1, 34.15, 5986606.84, 
2784.227, 0, 34.24, 5986606.84, 
2789.219, 0, 34.38, 5986606.83, 
2794.227, 0.1, 34.45, 5986606.81, 
2799.235, 0, 34.54, 5986606.79, 
2804.242, 0, 34.66, 5986606.8, 
2809.25, 0, 34.78, 5986606.8, 
2814.258, 0.1, 34.83, 5986606.79, 
2819.281, 0, 34.93, 5986606.75, 
2824.273, 0, 35.12, 5986606.75, 
2829.28, 0.1, 35.19, 5986606.74, 
2834.288, 0, 35.23, 5986606.76, 
2839.296, -0.1, 35.36, 5986606.73, 
2844.303, 0, 35.47, 5986606.73, 
2849.327, 0.1, 35.6, 5986606.73, 
2854.334, 0, 35.59, 5986606.73, 
2859.326, -0.1, 35.69, 5986606.71, 
2864.334, 0, 35.89, 5986606.73, 
2869.342, 0.1, 35.96, 5986606.69, 
2874.349, 0, 36.02, 5986606.69, 
2879.357, -0.1, 36.11, 5986606.67, 
2884.364, 0.1, 36.28, 5986606.67, 
2889.388, 0.1, 36.4, 5986606.65, 
2894.38, 0, 36.44, 5986606.61, 
2899.387, 0, 36.64, 5986606.65, 
2904.395, 0.1, 36.68, 5986606.65, 
2909.403, 0, 36.76, 5986606.65, 
2914.41, 0, 36.8, 5986606.62, 
2919.418, 0, 36.98, 5986606.6, 
2924.441, 0, 36.96, 5986606.6, 
2929.433, 0, 37.01, 5986606.58, 
2934.441, 0, 37.12, 5986606.6, 
2939.448, 0, 37.26, 5986606.6, 
2944.456, 0, 37.31, 5986606.58, 
2949.464, 0, 37.45, 5986606.56, 
2954.471, 0, 37.51, 5986606.56, 
2959.494, 0, 37.63, 5986606.55, 
2964.487, 0, 37.75, 5986606.58, 
2969.494, 0, 37.83, 5986606.56, 
2974.502, -0.1, 37.87, 5986606.54, 
2979.509, 0, 38.1, 5986606.5, 
2984.517, 0.1, 38.21, 5986606.5, 
2989.525, 0, 38.23, 5986606.48, 
2994.564, 0.1, 38.41, 5986606.5, 
2999.54, -0.1, 38.54, 5986606.47, 
3004.548, 0.2, 38.65, 5986606.48, 
3009.555, -0.1, 38.72, 5986606.45, 
3014.563, 0, 38.88, 5986606.46, 
3019.57, 0, 39, 5986606.46, 
3024.594, 0.2, 39.06, 5986606.42, 
3029.601, 0, 39.16, 5986606.39, 
3034.593, 0, 39.31, 5986606.42, 
3039.601, 0, 39.47, 5986606.4, 
